sel104_0,150525, 150552, 150736, 150768, 152552, 152577, 152781, 152800, 154397, 154426, 156018, 156045, 157662, 157687, 159072, 159096, 160698, 160722, 168185, 168217, 168421, 168440, 170014, 170036, 170223, 170250, 190299, 190318, 213655, 213682, 215891, 215910, 223195, 223220
sel104_1,150525, 150552, 150736, 150768, 152552, 152577, 152781, 152800, 154397, 154426, 156018, 156045, 157662, 157687, 159072, 159096, 160698, 160722, 168185, 168217, 168421, 168440, 170014, 170036, 170223, 170250, 190299, 190318, 213655, 213682, 215891, 215910, 223195, 223220
sel100_0,150272, 150298, 150471, 150500, 150671, 150697, 150872, 150896, 151069, 151101, 151268, 151297, 151471, 151504, 151687, 151717, 151893, 151924, 152081, 152112, 152277, 152303, 152476, 152505, 152674, 152698, 152862, 152890, 153066, 153095, 153281, 153308, 153483, 153513, 153669, 153692, 153853, 153888, 154056, 154085, 154268, 154296, 154459, 154492, 154663, 154690, 154875, 154900, 155080, 155107, 155260, 155288, 155448, 155474, 155646, 155674, 155852, 155881, 156048, 156080
sel100_1,150272, 150298, 150471, 150500, 150671, 150697, 150872, 150896, 151069, 151101, 151268, 151297, 151471, 151504, 151687, 151717, 151893, 151924, 152081, 152112, 152277, 152303, 152476, 152505, 152674, 152698, 152862, 152890, 153066, 153095, 153281, 153308, 153483, 153513, 153669, 153692, 153853, 153888, 154056, 154085, 154268, 154296, 154459, 154492, 154663, 154690, 154875, 154900, 155080, 155107, 155260, 155288, 155448, 155474, 155646, 155674, 155852, 155881, 156048, 156080
sel114_0,150181, 150213, 150410, 150446, 150671, 150704, 150913, 150946, 151142, 151173, 151377, 151407, 151599, 151636, 151827, 151867, 152076, 152113, 152307, 152345, 152534, 152575, 152773, 152815, 153004, 153037, 153220, 153248, 153469, 153498, 153705, 153742, 153944, 153978, 154180, 154211, 154401, 154442, 154630, 154669, 154864, 154897, 155117, 155147, 155354, 155388, 155587, 155612, 155806, 155846, 156044, 156076, 156261, 156293, 156497, 156536, 156746, 156786, 156973, 157002, 210405, 210438, 210672, 210712, 210932, 210963, 211193, 211222, 211442, 211470, 211676, 211709, 212208, 212238, 212456, 212488, 212716, 212747, 212964, 212991, 213196, 213228, 213454, 213488, 213722, 213756, 213973, 214000, 214222, 214257, 214463, 214496, 214696, 214724, 214941, 214973, 215197, 215234, 215449, 215476, 215696, 215723, 215938, 215968
sel114_1,150181, 150213, 150410, 150446, 150671, 150704, 150913, 150946, 151142, 151173, 151377, 151407, 151599, 151636, 151827, 151867, 152076, 152113, 152307, 152345, 152534, 152575, 152773, 152815, 153004, 153037, 153220, 153248, 153469, 153498, 153705, 153742, 153944, 153978, 154180, 154211, 154401, 154442, 154630, 154669, 154864, 154897, 155117, 155147, 155354, 155388, 155587, 155612, 155806, 155846, 156044, 156076, 156261, 156293, 156497, 156536, 156746, 156786, 156973, 157002, 210405, 210438, 210672, 210712, 210932, 210963, 211193, 211222, 211442, 211470, 211676, 211709, 212208, 212238, 212456, 212488, 212716, 212747, 212964, 212991, 213196, 213228, 213454, 213488, 213722, 213756, 213973, 214000, 214222, 214257, 214463, 214496, 214696, 214724, 214941, 214973, 215197, 215234, 215449, 215476, 215696, 215723, 215938, 215968
sel116_0,150232, 150261, 150410, 150445, 150605, 150635, 150789, 150819, 150981, 151005, 151361, 151390, 151556, 151586, 152070, 152098, 152267, 152299, 153048, 153079, 153832, 153864, 154594, 154622, 154787, 154814, 154975, 155000, 155168, 155200, 155364, 155396, 155565, 155586, 155765, 155792, 155956, 155990, 156157, 156191, 156362, 156389, 156560, 156591, 156759, 156791, 156952, 156984, 157147, 157175, 157340, 157370, 157531, 157558, 157719, 157751, 157909, 157937, 158091, 158122, 158278, 158315, 158472, 158499, 158651, 158680, 158841, 158868, 159597, 159623, 159790, 159817, 159976, 160002, 160157, 160186, 160343, 160377, 160526, 160559, 160720, 160752, 161103, 161132
sel116_1,150232, 150261, 150410, 150445, 150605, 150635, 150789, 150819, 150981, 151005, 151361, 151390, 151556, 151586, 152070, 152098, 152267, 152299, 153048, 153079, 153832, 153864, 154594, 154622, 154787, 154814, 154975, 155000, 155168, 155200, 155364, 155396, 155565, 155586, 155765, 155792, 155956, 155990, 156157, 156191, 156362, 156389, 156560, 156591, 156759, 156791, 156952, 156984, 157147, 157175, 157340, 157370, 157531, 157558, 157719, 157751, 157909, 157937, 158091, 158122, 158278, 158315, 158472, 158499, 158651, 158680, 158841, 158868, 159597, 159623, 159790, 159817, 159976, 160002, 160157, 160186, 160343, 160377, 160526, 160559, 160720, 160752, 161103, 161132
sel117_0,150439, 150483, 150736, 150772, 151030, 151057, 151315, 151348, 151610, 151644, 151904, 151942, 152197, 152224, 152486, 152526, 152776, 152810, 153065, 153103, 153353, 153382, 153650, 153682, 153946, 153973, 154237, 154264, 154524, 154561, 154819, 154848, 155093, 155133, 155394, 155427, 155685, 155725, 156005, 156027, 156285, 156317, 156589, 156616, 156869, 156907, 157176, 157208, 157469, 157500, 157766, 157805, 158071, 158100, 158360, 158389, 158650, 158684, 158940, 158972
sel117_1,150439, 150483, 150736, 150772, 151030, 151057, 151315, 151348, 151610, 151644, 151904, 151942, 152197, 152224, 152486, 152526, 152776, 152810, 153065, 153103, 153353, 153382, 153650, 153682, 153946, 153973, 154237, 154264, 154524, 154561, 154819, 154848, 155093, 155133, 155394, 155427, 155685, 155725, 156005, 156027, 156285, 156317, 156589, 156616, 156869, 156907, 157176, 157208, 157469, 157500, 157766, 157805, 158071, 158100, 158360, 158389, 158650, 158684, 158940, 158972
sel123_0,150350, 150379, 150688, 150722, 151038, 151063, 151351, 151378, 151691, 151726, 152021, 152046, 152341, 152368, 152669, 152699, 152992, 153021, 153307, 153336, 153607, 153644, 153940, 153972, 154244, 154274, 154567, 154602, 154899, 154933, 155195, 155227, 155497, 155526, 155815, 155852, 156102, 156133, 156384, 156413, 156657, 156682, 156897, 156925, 157138, 157175, 157387, 157417, 157621, 157653, 157883, 157917, 158248, 158283, 158604, 158634, 158955, 158982, 159288, 159317
sel123_1,150350, 150379, 150688, 150722, 151038, 151063, 151351, 151378, 151691, 151726, 152021, 152046, 152341, 152368, 152669, 152699, 152992, 153021, 153307, 153336, 153607, 153644, 153940, 153972, 154244, 154274, 154567, 154602, 154899, 154933, 155195, 155227, 155497, 155526, 155815, 155852, 156102, 156133, 156384, 156413, 156657, 156682, 156897, 156925, 157138, 157175, 157387, 157417, 157621, 157653, 157883, 157917, 158248, 158283, 158604, 158634, 158955, 158982, 159288, 159317
